Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  58.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
0.000     13.892    0.000     6.243     10.995    3.297     9.991     1.613     1.009e+10      6.887e-10      8.756e-10      
0.010     14.128    0.236     6.243     11.136    3.375     10.227    1.706     1.009e+10      6.887e-10      9.004e-10      
0.020     14.364    0.472     6.243     11.278    3.453     10.463    1.804     1.009e+10      6.887e-10      9.252e-10      
0.030     14.601    0.708     6.243     11.420    3.531     10.699    1.909     1.009e+10      6.887e-10      9.500e-10      
0.040     14.837    0.945     6.243     11.561    3.609     10.936    2.019     1.009e+10      6.887e-10      9.748e-10      
0.050     15.073    1.181     6.243     11.703    3.687     11.172    2.136     1.009e+10      6.887e-10      9.996e-10      
0.060     15.309    1.417     6.243     11.845    3.765     11.408    2.260     1.009e+10      6.887e-10      1.024e-09      
0.070     15.545    1.653     6.243     11.986    3.842     11.644    2.392     1.009e+10      6.887e-10      1.049e-09      
0.080     15.781    1.889     6.243     12.128    3.920     11.880    2.534     1.009e+10      6.887e-10      1.074e-09      
0.090     16.017    2.125     6.243     12.270    3.998     12.116    2.685     1.009e+10      6.887e-10      1.099e-09      
0.100     16.253    2.361     6.243     12.411    4.076     12.352    2.847     1.009e+10      6.887e-10      1.124e-09      
0.110     16.490    2.597     6.243     12.553    4.154     12.588    3.021     1.009e+10      6.887e-10      1.148e-09      
0.120     16.726    2.834     6.243     12.695    4.232     12.825    3.208     1.009e+10      6.887e-10      1.173e-09      
0.130     16.962    3.070     6.243     12.836    4.310     13.061    3.411     1.009e+10      6.887e-10      1.198e-09      
0.140     17.198    3.306     6.243     12.978    4.388     13.297    3.630     1.009e+10      6.887e-10      1.223e-09      
0.150     17.434    3.542     6.243     13.120    4.466     13.533    3.869     1.009e+10      6.887e-10      1.248e-09      
0.160     17.670    3.778     6.243     13.261    4.544     13.769    4.130     1.009e+10      6.887e-10      1.273e-09      
0.170     17.906    4.014     6.243     13.403    4.622     14.005    4.416     1.009e+10      6.887e-10      1.297e-09      
0.180     18.142    4.250     6.243     13.545    4.700     14.241    4.731     1.009e+10      6.887e-10      1.322e-09      
0.190     18.379    4.486     6.243     13.686    4.778     14.477    5.079     1.009e+10      6.887e-10      1.347e-09      
0.200     18.615    4.723     6.243     13.828    4.855     14.714    5.466     1.009e+10      6.887e-10      1.372e-09      
0.210     18.851    4.959     6.243     13.970    4.933     14.950    5.900     1.009e+10      6.887e-10      1.397e-09      
0.220     19.087    5.195     6.243     14.111    5.011     15.186    6.388     1.009e+10      6.887e-10      1.421e-09      
0.230     19.323    5.431     6.243     14.253    5.089     15.422    6.942     1.009e+10      6.887e-10      1.446e-09      
0.240     19.559    5.667     6.243     14.395    5.167     15.658    7.577     1.009e+10      6.887e-10      1.471e-09      
0.250     19.795    5.903     6.243     14.537    5.245     15.894    8.310     1.009e+10      6.887e-10      1.496e-09      
0.260     20.031    6.139     6.243     14.678    5.323     16.130    9.168     1.009e+10      6.887e-10      1.521e-09      
0.270     20.268    6.375     6.243     14.820    5.401     16.366    10.184    1.009e+10      6.887e-10      1.545e-09      
0.280     20.504    6.612     6.243     14.962    5.479     16.603    11.408    1.009e+10      6.887e-10      1.570e-09      
0.290     20.740    6.848     6.243     15.103    5.557     16.839    12.910    1.009e+10      6.887e-10      1.595e-09      
0.300     20.976    7.084     6.243     15.245    5.635     17.075    14.796    1.009e+10      6.887e-10      1.620e-09      
0.310     21.212    7.320     6.243     15.387    5.713     17.311    17.237    1.009e+10      6.887e-10      1.645e-09      
0.320     21.448    7.556     6.243     15.528    5.791     17.547    20.518    1.009e+10      6.887e-10      1.669e-09      
0.330     21.684    7.792     6.243     15.670    5.868     17.783    25.163    1.009e+10      6.887e-10      1.694e-09      
0.340     21.920    8.028     6.243     15.812    5.946     18.019    32.250    1.009e+10      6.887e-10      1.719e-09      
0.350     22.157    8.264     6.243     15.953    6.024     18.255    44.383    1.009e+10      6.887e-10      1.744e-09      
0.360     22.393    8.501     6.243     16.095    6.102     18.492    69.942    1.009e+10      6.887e-10      1.769e-09      
0.370     22.629    8.737     6.243     16.237    6.180     18.728    158.788   1.009e+10      6.887e-10      1.794e-09      
0.380     22.865    8.973     6.243     16.378    6.258     18.964    -676.339  1.009e+10      6.887e-10      1.818e-09      
0.390     23.101    9.209     6.243     16.520    6.336     19.200    -110.615  1.009e+10      6.887e-10      1.843e-09      
0.400     23.337    9.445     6.243     16.662    6.414     19.436    -60.988   1.009e+10      6.887e-10      1.868e-09      
0.410     23.573    9.681     6.243     16.803    6.492     19.672    -42.453   1.009e+10      6.887e-10      1.893e-09      
0.420     23.809    9.917     6.243     16.945    6.570     19.908    -32.760   1.009e+10      6.887e-10      1.918e-09      
0.430     24.046    10.153    6.243     17.087    6.648     20.144    -26.801   1.009e+10      6.887e-10      1.942e-09      
0.440     24.282    10.390    6.243     17.228    6.726     20.381    -22.767   1.009e+10      6.887e-10      1.967e-09      
0.450     24.518    10.626    6.243     17.370    6.804     20.617    -19.854   1.009e+10      6.887e-10      1.992e-09      
0.460     24.754    10.862    6.243     17.512    6.881     20.853    -17.652   1.009e+10      6.887e-10      2.017e-09      
0.470     24.990    11.098    6.243     17.653    6.959     21.089    -15.930   1.009e+10      6.887e-10      2.042e-09      
0.480     25.226    11.334    6.243     17.795    7.037     21.325    -14.545   1.009e+10      6.887e-10      2.066e-09      
0.490     25.462    11.570    6.243     17.937    7.115     21.561    -13.408   1.009e+10      6.887e-10      2.091e-09      
0.500     25.698    11.806    6.243     18.078    7.193     21.797    -12.458   1.009e+10      6.887e-10      2.116e-09      
0.510     25.935    12.042    6.243     18.220    7.271     22.033    -11.651   1.009e+10      6.887e-10      2.141e-09      
0.520     26.171    12.279    6.243     18.362    7.349     22.270    -10.958   1.009e+10      6.887e-10      2.166e-09      
0.530     26.407    12.515    6.243     18.503    7.427     22.506    -10.357   1.009e+10      6.887e-10      2.190e-09      
0.540     26.643    12.751    6.243     18.645    7.505     22.742    -9.829    1.009e+10      6.887e-10      2.215e-09      
0.550     26.879    12.987    6.243     18.787    7.583     22.978    -9.363    1.009e+10      6.887e-10      2.240e-09      
0.560     27.115    13.223    6.243     18.928    7.661     23.214    -8.949    1.009e+10      6.887e-10      2.265e-09      
0.570     27.351    13.459    6.243     19.070    7.739     23.450    -8.577    1.009e+10      6.887e-10      2.290e-09      
0.580     27.587    13.695    6.243     19.212    7.816     23.686    -8.242    1.009e+10      6.887e-10      2.315e-09      
0.590     27.824    13.931    6.243     19.353    7.894     23.922    -7.939    1.009e+10      6.887e-10      2.339e-09      
0.600     28.060    14.168    6.243     19.495    7.972     24.159    -7.663    1.009e+10      6.887e-10      2.364e-09      
0.610     28.296    14.404    6.243     19.637    8.050     24.395    -7.411    1.009e+10      6.887e-10      2.389e-09      
0.620     28.532    14.640    6.243     19.779    8.128     24.631    -7.180    1.009e+10      6.887e-10      2.414e-09      
0.630     64.066    14.876    22.106    35.152    16.584    50.253    2.362     3.571e+10      6.887e-10      6.887e-10      
0.640     64.889    15.140    22.357    35.551    16.803    50.919    2.376     3.571e+10      6.965e-10      6.965e-10      
0.650     65.712    15.403    22.608    35.951    17.023    51.584    2.389     3.571e+10      7.043e-10      7.043e-10      
0.660     66.534    15.667    22.860    36.350    17.242    52.250    2.402     3.571e+10      7.122e-10      7.122e-10      
0.670     67.357    15.931    23.111    36.749    17.462    52.916    2.415     3.571e+10      7.200e-10      7.200e-10      
0.680     68.179    16.194    23.362    37.149    17.682    53.581    2.427     3.571e+10      7.278e-10      7.278e-10      
0.690     69.002    16.458    23.613    37.548    17.901    54.247    2.440     3.571e+10      7.356e-10      7.356e-10      
0.700     69.824    16.722    23.864    37.947    18.121    54.912    2.452     3.571e+10      7.435e-10      7.435e-10      
0.710     70.647    16.986    24.115    38.347    18.341    55.578    2.465     3.571e+10      7.513e-10      7.513e-10      
0.720     71.470    17.249    24.366    38.746    18.560    56.244    2.477     3.571e+10      7.591e-10      7.591e-10      
0.730     72.292    17.513    24.618    39.146    18.780    56.909    2.489     3.571e+10      7.669e-10      7.669e-10      
0.740     73.115    17.777    24.869    39.545    19.000    57.575    2.501     3.571e+10      7.748e-10      7.748e-10      
0.750     73.937    18.040    25.120    39.944    19.219    58.241    2.512     3.571e+10      7.826e-10      7.826e-10      
0.760     74.760    18.304    25.371    40.344    19.439    58.906    2.524     3.571e+10      7.904e-10      7.904e-10      
0.770     75.582    18.568    25.622    40.743    19.659    59.572    2.536     3.571e+10      7.982e-10      7.982e-10      
0.780     76.405    18.831    25.873    41.143    19.878    60.238    2.547     3.571e+10      8.061e-10      8.061e-10      
0.790     77.228    19.095    26.125    41.542    20.098    60.903    2.558     3.571e+10      8.139e-10      8.139e-10      
0.800     78.050    19.359    26.376    41.941    20.318    61.569    2.569     3.571e+10      8.217e-10      8.217e-10      
0.810     78.873    19.622    26.627    42.341    20.537    62.234    2.580     3.571e+10      8.295e-10      8.295e-10      
0.820     79.695    19.886    26.878    42.740    20.757    62.900    2.591     3.571e+10      8.374e-10      8.374e-10      
0.830     80.518    20.150    27.129    43.139    20.977    63.566    2.602     3.571e+10      8.452e-10      8.452e-10      
0.840     81.340    20.414    27.380    43.539    21.196    64.231    2.613     3.571e+10      8.530e-10      8.530e-10      
0.850     82.163    20.677    27.632    43.938    21.416    64.897    2.624     3.571e+10      8.608e-10      8.608e-10      
0.860     82.986    20.941    27.883    44.338    21.636    65.563    2.634     3.571e+10      8.687e-10      8.687e-10      
0.870     83.808    21.205    28.134    44.737    21.855    66.228    2.644     3.571e+10      8.765e-10      8.765e-10      
0.880     84.631    21.468    28.385    45.136    22.075    66.894    2.655     3.571e+10      8.843e-10      8.843e-10      
0.890     85.453    21.732    28.636    45.536    22.295    67.559    2.665     3.571e+10      8.921e-10      8.921e-10      
0.900     86.276    21.996    28.887    45.935    22.514    68.225    2.675     3.571e+10      9.000e-10      9.000e-10      
0.910     87.098    22.259    29.138    46.334    22.734    68.891    2.685     3.571e+10      9.078e-10      9.078e-10      
0.920     87.921    22.523    29.390    46.734    22.954    69.556    2.695     3.571e+10      9.156e-10      9.156e-10      
0.930     88.744    22.787    29.641    47.133    23.173    70.222    2.705     3.571e+10      9.234e-10      9.234e-10      
0.940     89.566    23.050    29.892    47.533    23.393    70.888    2.714     3.571e+10      9.313e-10      9.313e-10      
0.950     90.389    23.314    30.143    47.932    23.613    71.553    2.724     3.571e+10      9.391e-10      9.391e-10      
0.960     91.211    23.578    30.394    48.331    23.832    72.219    2.733     3.571e+10      9.469e-10      9.469e-10      
0.970     92.034    23.842    30.645    48.731    24.052    72.884    2.743     3.571e+10      9.547e-10      9.547e-10      
0.980     92.856    24.105    30.897    49.130    24.272    73.550    2.752     3.571e+10      9.626e-10      9.626e-10      
0.990     93.679    24.369    31.148    49.529    24.491    74.216    2.761     3.571e+10      9.704e-10      9.704e-10      
1.000     94.502    24.633    31.399    49.929    24.711    74.881    2.771     3.571e+10      9.782e-10      9.782e-10      
1.010     95.324    24.896    31.650    50.328    24.931    75.547    2.780     3.571e+10      9.860e-10      9.860e-10      
1.020     96.147    25.160    31.901    50.728    25.150    76.213    2.789     3.571e+10      9.939e-10      9.939e-10      
1.030     96.969    25.424    32.152    51.127    25.370    76.878    2.798     3.571e+10      1.002e-09      1.002e-09      
1.040     97.792    25.687    32.404    51.526    25.589    77.544    2.806     3.571e+10      1.010e-09      1.010e-09      
1.050     98.614    25.951    32.655    51.926    25.809    78.210    2.815     3.571e+10      1.017e-09      1.017e-09      
1.060     99.437    26.215    32.906    52.325    26.029    78.875    2.824     3.571e+10      1.025e-09      1.025e-09      
1.070     100.260   26.478    33.157    52.724    26.248    79.541    2.832     3.571e+10      1.033e-09      1.033e-09      
1.080     101.082   26.742    33.408    53.124    26.468    80.206    2.841     3.571e+10      1.041e-09      1.041e-09      
1.090     101.905   27.006    33.659    53.523    26.688    80.872    2.849     3.571e+10      1.049e-09      1.049e-09      
1.100     102.727   27.270    33.910    53.923    26.907    81.538    2.858     3.571e+10      1.056e-09      1.056e-09      
1.110     103.550   27.533    34.162    54.322    27.127    82.203    2.866     3.571e+10      1.064e-09      1.064e-09      
1.120     104.372   27.797    34.413    54.721    27.347    82.869    2.874     3.571e+10      1.072e-09      1.072e-09      
1.130     105.195   28.061    34.664    55.121    27.566    83.535    2.882     3.571e+10      1.080e-09      1.080e-09      
1.140     106.018   28.324    34.915    55.520    27.786    84.200    2.890     3.571e+10      1.088e-09      1.088e-09      
1.150     106.840   28.588    35.166    55.919    28.006    84.866    2.898     3.571e+10      1.096e-09      1.096e-09      
1.160     107.663   28.852    35.417    56.319    28.225    85.531    2.906     3.571e+10      1.103e-09      1.103e-09      
1.170     108.485   29.115    35.669    56.718    28.445    86.197    2.914     3.571e+10      1.111e-09      1.111e-09      
1.180     109.308   29.379    35.920    57.118    28.665    86.863    2.922     3.571e+10      1.119e-09      1.119e-09      
1.190     110.130   29.643    36.171    57.517    28.884    87.528    2.930     3.571e+10      1.127e-09      1.127e-09      
1.200     42.664    29.906    5.733     28.449    12.897    39.082    -3.171    3.118e+09      2.046e-09      1.300e-08      
1.210     42.877    30.119    5.733     28.576    12.967    39.294    -3.158    3.118e+09      2.046e-09      1.307e-08      
1.220     43.089    30.331    5.733     28.704    13.037    39.506    -3.145    3.118e+09      2.046e-09      1.314e-08      
1.230     43.301    30.544    5.733     28.831    13.107    39.719    -3.132    3.118e+09      2.046e-09      1.321e-08      
1.240     43.514    30.756    5.733     28.959    13.177    39.931    -3.120    3.118e+09      2.046e-09      1.329e-08      
1.250     43.726    30.968    5.733     29.086    13.247    40.144    -3.108    3.118e+09      2.046e-09      1.336e-08      
1.260     43.939    31.181    5.733     29.214    13.317    40.356    -3.096    3.118e+09      2.046e-09      1.343e-08      
1.270     44.151    31.393    5.733     29.341    13.388    40.568    -3.084    3.118e+09      2.046e-09      1.350e-08      
1.280     44.363    31.606    5.733     29.468    13.458    40.781    -3.073    3.118e+09      2.046e-09      1.358e-08      
1.290     44.576    31.818    5.733     29.596    13.528    40.993    -3.061    3.118e+09      2.046e-09      1.365e-08      
1.300     44.788    32.030    5.733     29.723    13.598    41.206    -3.050    3.118e+09      2.046e-09      1.372e-08      
1.310     45.001    32.243    5.733     29.851    13.668    41.418    -3.040    3.118e+09      2.046e-09      1.379e-08      
1.320     45.213    32.455    5.733     29.978    13.738    41.630    -3.029    3.118e+09      2.046e-09      1.386e-08      
1.330     45.425    32.667    5.733     30.106    13.808    41.843    -3.018    3.118e+09      2.046e-09      1.394e-08      
1.340     45.638    32.880    5.733     30.233    13.878    42.055    -3.008    3.118e+09      2.046e-09      1.401e-08      
1.350     45.850    33.092    5.733     30.360    13.948    42.267    -2.998    3.118e+09      2.046e-09      1.408e-08      
1.360     46.062    33.305    5.733     30.488    14.018    42.480    -2.988    3.118e+09      2.046e-09      1.415e-08      
1.370     46.275    33.517    5.733     30.615    14.088    42.692    -2.978    3.118e+09      2.046e-09      1.423e-08      
1.380     46.487    33.729    5.733     30.743    14.159    42.905    -2.968    3.118e+09      2.046e-09      1.430e-08      
1.390     46.700    33.942    5.733     30.870    14.229    43.117    -2.959    3.118e+09      2.046e-09      1.437e-08      
1.400     46.912    34.154    5.733     30.998    14.299    43.329    -2.950    3.118e+09      2.046e-09      1.444e-08      
1.410     47.124    34.367    5.733     31.125    14.369    43.542    -2.940    3.118e+09      2.046e-09      1.451e-08      
1.420     87.524    34.579    23.793    48.594    23.976    72.656    -135.284  1.294e+10      2.046e-09      3.515e-09      
1.430     87.765    34.821    23.793    48.739    24.056    72.898    -94.806   1.294e+10      2.046e-09      3.535e-09      
1.440     88.007    35.063    23.793    48.884    24.136    73.140    -73.168   1.294e+10      2.046e-09      3.554e-09      
1.450     88.249    35.304    23.793    49.029    24.216    73.381    -59.698   1.294e+10      2.046e-09      3.574e-09      
1.460     88.491    35.546    23.793    49.174    24.296    73.623    -50.507   1.294e+10      2.046e-09      3.594e-09      
1.470     88.733    35.788    23.793    49.319    24.375    73.865    -43.835   1.294e+10      2.046e-09      3.614e-09      
1.480     88.974    36.030    23.793    49.464    24.455    74.107    -38.771   1.294e+10      2.046e-09      3.634e-09      
1.490     89.216    36.272    23.793    49.609    24.535    74.349    -34.796   1.294e+10      2.046e-09      3.653e-09      
1.500     89.458    36.514    23.793    49.754    24.615    74.591    -31.594   1.294e+10      2.046e-09      3.673e-09      
1.510     89.700    36.755    23.793    49.899    24.695    74.832    -28.958   1.294e+10      2.046e-09      3.693e-09      
1.520     89.942    36.997    23.793    50.044    24.774    75.074    -26.751   1.294e+10      2.046e-09      3.713e-09      
1.530     90.184    37.239    23.793    50.190    24.854    75.316    -24.876   1.294e+10      2.046e-09      3.733e-09      
1.540     90.425    37.481    23.793    50.335    24.934    75.558    -23.263   1.294e+10      2.046e-09      3.753e-09      
1.550     90.667    37.723    23.793    50.480    25.014    75.800    -21.861   1.294e+10      2.046e-09      3.772e-09      
1.560     90.909    37.964    23.793    50.625    25.094    76.041    -20.632   1.294e+10      2.046e-09      3.792e-09      
1.570     91.151    38.206    23.793    50.770    25.173    76.283    -19.544   1.294e+10      2.046e-09      3.812e-09      
1.580     91.393    38.448    23.793    50.915    25.253    76.525    -18.575   1.294e+10      2.046e-09      3.832e-09      
1.590     91.634    38.690    23.793    51.060    25.333    76.767    -17.707   1.294e+10      2.046e-09      3.852e-09      
1.600     91.876    38.932    23.793    51.205    25.413    77.009    -16.924   1.294e+10      2.046e-09      3.871e-09      
1.610     92.118    39.173    23.793    51.350    25.493    77.250    -16.215   1.294e+10      2.046e-09      3.891e-09      
1.620     92.360    39.415    23.793    51.495    25.572    77.492    -15.569   1.294e+10      2.046e-09      3.911e-09      
1.630     92.602    39.657    23.793    51.640    25.652    77.734    -14.979   1.294e+10      2.046e-09      3.931e-09      
1.640     92.844    39.899    23.793    51.786    25.732    77.976    -14.437   1.294e+10      2.046e-09      3.951e-09      
1.650     93.085    40.141    23.793    51.931    25.812    78.218    -13.938   1.294e+10      2.046e-09      3.970e-09      
1.660     93.327    40.383    23.793    52.076    25.892    78.460    -13.477   1.294e+10      2.046e-09      3.990e-09      
1.670     93.569    40.624    23.793    52.221    25.971    78.701    -13.050   1.294e+10      2.046e-09      4.010e-09      
1.680     93.811    40.866    23.793    52.366    26.051    78.943    -12.653   1.294e+10      2.046e-09      4.030e-09      
1.690     94.053    41.108    23.793    52.511    26.131    79.185    -12.284   1.294e+10      2.046e-09      4.050e-09      
1.700     94.294    41.350    23.793    52.656    26.211    79.427    -11.938   1.294e+10      2.046e-09      4.069e-09      
1.710     94.536    41.592    23.793    52.801    26.291    79.669    -11.615   1.294e+10      2.046e-09      4.089e-09      
1.720     94.778    41.833    23.793    52.946    26.370    79.910    -11.311   1.294e+10      2.046e-09      4.109e-09      
1.730     95.020    42.075    23.793    53.091    26.450    80.152    -11.026   1.294e+10      2.046e-09      4.129e-09      
1.740     95.262    42.317    23.793    53.236    26.530    80.394    -10.758   1.294e+10      2.046e-09      4.149e-09      
1.750     95.504    42.559    23.793    53.382    26.610    80.636    -10.505   1.294e+10      2.046e-09      4.168e-09      
1.760     95.745    42.801    23.793    53.527    26.690    80.878    -10.265   1.294e+10      2.046e-09      4.188e-09      
1.770     95.987    43.043    23.793    53.672    26.769    81.120    -10.039   1.294e+10      2.046e-09      4.208e-09      
1.780     96.229    43.284    23.793    53.817    26.849    81.361    -9.824    1.294e+10      2.046e-09      4.228e-09      
1.790     96.471    43.526    23.793    53.962    26.929    81.603    -9.620    1.294e+10      2.046e-09      4.248e-09      
1.800     96.713    43.768    23.793    54.107    27.009    81.845    -9.427    1.294e+10      2.046e-09      4.267e-09      
1.810     96.954    44.010    23.793    54.252    27.089    82.087    -9.243    1.294e+10      2.046e-09      4.287e-09      
1.820     97.196    44.252    23.793    54.397    27.168    82.329    -9.067    1.294e+10      2.046e-09      4.307e-09      
1.830     97.438    44.493    23.793    54.542    27.248    82.570    -8.900    1.294e+10      2.046e-09      4.327e-09      
1.840     97.680    44.735    23.793    54.687    27.328    82.812    -8.740    1.294e+10      2.046e-09      4.347e-09      
1.850     97.922    44.977    23.793    54.832    27.408    83.054    -8.587    1.294e+10      2.046e-09      4.367e-09      
1.860     98.164    45.219    23.793    54.978    27.488    83.296    -8.441    1.294e+10      2.046e-09      4.386e-09      
1.870     98.405    45.461    23.793    55.123    27.567    83.538    -8.301    1.294e+10      2.046e-09      4.406e-09      
1.880     98.647    45.703    23.793    55.268    27.647    83.780    -8.167    1.294e+10      2.046e-09      4.426e-09      
1.890     98.889    45.944    23.793    55.413    27.727    84.021    -8.038    1.294e+10      2.046e-09      4.446e-09      
1.900     99.131    46.186    23.793    55.558    27.807    84.263    -7.914    1.294e+10      2.046e-09      4.466e-09      
1.910     99.373    46.428    23.793    55.703    27.887    84.505    -7.795    1.294e+10      2.046e-09      4.485e-09      
1.920     99.614    46.670    23.793    55.848    27.966    84.747    -7.681    1.294e+10      2.046e-09      4.505e-09      
1.930     99.856    46.912    23.793    55.993    28.046    84.989    -7.571    1.294e+10      2.046e-09      4.525e-09      
1.940     100.098   47.153    23.793    56.138    28.126    85.230    -7.465    1.294e+10      2.046e-09      4.545e-09      
1.950     100.340   47.395    23.793    56.283    28.206    85.472    -7.363    1.294e+10      2.046e-09      4.565e-09      
1.960     100.582   47.637    23.793    56.428    28.286    85.714    -7.264    1.294e+10      2.046e-09      4.584e-09      
1.970     100.823   47.879    23.793    56.574    28.365    85.956    -7.169    1.294e+10      2.046e-09      4.604e-09      
1.980     101.065   48.121    23.793    56.719    28.445    86.198    -7.078    1.294e+10      2.046e-09      4.624e-09      
1.990     101.307   48.363    23.793    56.864    28.525    86.440    -6.989    1.294e+10      2.046e-09      4.644e-09      
2.000     101.549   48.604    23.793    57.009    28.605    86.681    -6.903    1.294e+10      2.046e-09      4.664e-09      
2.010     101.791   48.846    23.793    57.154    28.685    86.923    -6.820    1.294e+10      2.046e-09      4.683e-09      
2.020     102.033   49.088    23.793    57.299    28.764    87.165    -6.740    1.294e+10      2.046e-09      4.703e-09      
2.030     103.452   49.330    24.323    57.952    29.124    88.254    -7.004    1.323e+10      2.046e-09      4.620e-09      
2.040     103.695   49.572    24.323    58.098    29.204    88.496    -6.919    1.323e+10      2.046e-09      4.640e-09      
2.050     103.937   49.814    24.323    58.243    29.284    88.739    -6.837    1.323e+10      2.046e-09      4.659e-09      
2.060     104.179   50.057    24.323    58.389    29.364    88.981    -6.758    1.323e+10      2.046e-09      4.678e-09      
2.070     104.422   50.299    24.323    58.534    29.444    89.223    -6.680    1.323e+10      2.046e-09      4.698e-09      
2.080     104.664   50.541    24.323    58.679    29.524    89.465    -6.606    1.323e+10      2.046e-09      4.717e-09      
2.090     104.906   50.784    24.323    58.825    29.604    89.708    -6.533    1.323e+10      2.046e-09      4.737e-09      
2.100     105.148   51.026    24.323    58.970    29.684    89.950    -6.463    1.323e+10      2.046e-09      4.756e-09      
2.110     105.391   51.268    24.323    59.115    29.763    90.192    -6.395    1.323e+10      2.046e-09      4.776e-09      
2.120     105.633   51.511    24.323    59.261    29.843    90.435    -6.328    1.323e+10      2.046e-09      4.795e-09      
2.130     105.875   51.753    24.323    59.406    29.923    90.677    -6.264    1.323e+10      2.046e-09      4.814e-09      
2.140     106.118   51.995    24.323    59.552    30.003    90.919    -6.201    1.323e+10      2.046e-09      4.834e-09      
2.150     106.360   52.237    24.323    59.697    30.083    91.162    -6.141    1.323e+10      2.046e-09      4.853e-09      
2.160     106.602   52.480    24.323    59.842    30.163    91.404    -6.081    1.323e+10      2.046e-09      4.873e-09      
2.170     106.845   52.722    24.323    59.988    30.243    91.646    -6.024    1.323e+10      2.046e-09      4.892e-09      
2.180     107.087   52.964    24.323    60.133    30.323    91.889    -5.968    1.323e+10      2.046e-09      4.911e-09      
2.190     183.636   53.207    58.615    93.206    48.513    147.010   3.424     3.187e+10      2.046e-09      2.046e-09      
2.200     184.453   53.468    58.864    93.602    48.731    147.670   3.428     3.187e+10      2.055e-09      2.055e-09      
2.210     185.269   53.730    59.113    93.998    48.949    148.331   3.432     3.187e+10      2.063e-09      2.063e-09      
2.220     186.085   53.992    59.362    94.395    49.167    148.991   3.436     3.187e+10      2.072e-09      2.072e-09      
2.230     186.901   54.253    59.611    94.791    49.385    149.652   3.440     3.187e+10      2.081e-09      2.081e-09      
2.240     187.717   54.515    59.861    95.187    49.603    150.312   3.444     3.187e+10      2.090e-09      2.090e-09      
2.250     188.533   54.776    60.110    95.583    49.821    150.972   3.448     3.187e+10      2.098e-09      2.098e-09      
2.260     189.349   55.038    60.359    95.980    50.039    151.633   3.452     3.187e+10      2.107e-09      2.107e-09      
2.270     190.166   55.300    60.608    96.376    50.257    152.293   3.455     3.187e+10      2.116e-09      2.116e-09      
2.280     190.982   55.561    60.857    96.772    50.475    152.954   3.459     3.187e+10      2.124e-09      2.124e-09      
2.290     191.798   55.823    61.107    97.168    50.693    153.614   3.463     3.187e+10      2.133e-09      2.133e-09      
2.300     192.614   56.085    61.356    97.565    50.911    154.275   3.467     3.187e+10      2.142e-09      2.142e-09      
2.310     193.430   56.346    61.605    97.961    51.129    154.935   3.470     3.187e+10      2.150e-09      2.150e-09      
2.320     194.246   56.608    61.854    98.357    51.346    155.595   3.474     3.187e+10      2.159e-09      2.159e-09      
2.330     195.062   56.870    62.103    98.754    51.564    156.256   3.478     3.187e+10      2.168e-09      2.168e-09      
2.340     195.879   57.131    62.353    99.150    51.782    156.916   3.481     3.187e+10      2.177e-09      2.177e-09      
2.350     196.695   57.393    62.602    99.546    52.000    157.577   3.485     3.187e+10      2.185e-09      2.185e-09      
2.360     197.511   57.654    62.851    99.942    52.218    158.237   3.488     3.187e+10      2.194e-09      2.194e-09      
2.370     198.327   57.916    63.100    100.339   52.436    158.898   3.492     3.187e+10      2.203e-09      2.203e-09      
2.380     199.143   58.178    63.349    100.735   52.654    159.558   3.495     3.187e+10      2.211e-09      2.211e-09      
2.390     199.959   58.439    63.599    101.131   52.872    160.218   3.499     3.187e+10      2.220e-09      2.220e-09      
2.400     200.775   58.701    63.848    101.527   53.090    160.879   3.503     3.187e+10      2.229e-09      2.229e-09      
2.410     201.592   58.963    64.097    101.924   53.308    161.539   3.506     3.187e+10      2.237e-09      2.237e-09      
2.420     202.408   59.224    64.346    102.320   53.526    162.200   3.509     3.187e+10      2.246e-09      2.246e-09      
2.430     203.224   59.486    64.595    102.716   53.744    162.860   3.513     3.187e+10      2.255e-09      2.255e-09      
2.440     204.040   59.748    64.845    103.112   53.962    163.521   3.516     3.187e+10      2.264e-09      2.264e-09      
2.450     204.856   60.009    65.094    103.509   54.180    164.181   3.520     3.187e+10      2.272e-09      2.272e-09      
2.460     205.672   60.271    65.343    103.905   54.398    164.841   3.523     3.187e+10      2.281e-09      2.281e-09      
2.470     206.488   60.532    65.592    104.301   54.616    165.502   3.527     3.187e+10      2.290e-09      2.290e-09      
2.480     207.305   60.794    65.841    104.697   54.834    166.162   3.530     3.187e+10      2.298e-09      2.298e-09      
2.490     208.121   61.056    66.091    105.094   55.051    166.823   3.533     3.187e+10      2.307e-09      2.307e-09      
